Path,Instructions,Cycles,IPC,Time,Total_Time
0,359961078000,117821361.31951219,2.596984075475014,117.64195168891547,117.64195168891547
1,359961078000,118178573.2745098,2.6411638632629493,115.32446660126394,232.9664182901794
2,8825151388625,118153891.43414634,2.3832139465075795,3134.087393931992,3367.0538122221715
3,8825151388625,118254316.9195122,2.346513470159092,3180.4026649878774,6547.456477210049
12,16666873436300,118170417.53658536,2.11320461995639,6674.27068275544,13221.727159965489
13,16733969930100,118002826.2707317,1.9474192996070852,7281.940153746437,20503.667313711925
14,16700392715350,118071858.71707317,1.7772168752977662,7958.658235369096,28462.32554908102
15,3160829731300,118147938.16545013,1.8516904476125544,1444.7961262221304,29907.121675303148
16,3227926225100,118169045.82151589,1.6937468172834413,1612.766075140271,31519.88775044342
17,3194349010350,118110648.26829268,1.5231949820652042,1775.570052001131,33295.45780244455
18,3162107210300,117216292.63658537,1.8300474604747967,1474.0976585795213,34769.55546102407
19,3229203704100,118186498.51589242,1.665921545783108,1640.1102048003959,36409.66566582447
20,3195626489350,118144774.07073171,1.4951443883388402,1809.082452722663,38218.74811854713
21,10997916142300,117953115.55012225,2.02281967115082,4609.39386020168,42828.14197874881
22,12261433533100,118135186.84146342,1.9014139149853784,5458.650741148599,48286.792719897414
23,11031435421350,118064659.65365854,1.7388345666029996,5373.4577985859705,53660.250518483386
24,4725164580300,117760153.53414634,1.8649434785647734,2151.5572303059903,55811.807748789375
25,4792261074100,118190735.8512195,1.7288332874046548,2345.329774731444,58157.13752352082
26,4758683859350,118125843.6487805,1.5132139217005,2662.205658607006,60819.34318212782
