Execution paths,Estimated instructions,Estimated time (s) - (Te paso los valores para que los compares con los que has obtenido tú),
btB_add_start',359961078000,147395,
btB_add_stop',359961078000,147395,
btB_com_start',8825151388625,3142115,
btB_com_stop,8825151388625,3142115,
btB_x_bc',16666873436300,6530.7,
btB_x_bv',3160829731300,1400.5,
btB_x_mv',4725164580300,2092.04,
btB_x_mm',10997916142300,4342.04,
btB_x_lh',3162107210300,1400.91,
btB_y_bc',16733969930100,7052.13,
btB_y_bv',3227926225100,1563.15,
btB_y_mv',4792261074100,2300.74,
btB_y_mm',12261433533100,5271.74,
btB_y_lh',3229203704100,1585.95,
btB_z_bc',16700392715350,7586.5,
btB_z_bv',3194349010350,1729.71,
btB_z_mv',4758683859350,2527.02,
btB_z_mm',11031435421350,5099.25,
btB_z_lh',3195626489350,1734.86,
,,6579020,Tiempo estimado de toda la ejecución
