Path,IPC
0,2.487842556667488
1,2.49074680761321
2,2.387410944463444
3,2.381252895741406
4,2.0777161191915288
5,2.073477671924134
6,2.089003324738202
7,2.088002545352321
8,2.1181934585164757
9,2.125606919169309
10,2.1602806044071396
11,2.1396076405072124
12,2.365426027882202
13,2.294032299898257
14,2.3003438553530624
15,2.078483567790478
16,2.1169956413529003
17,2.0682256920922915
18,2.0668540925545416
19,2.0985149252372497
20,2.1052268268432854
21,2.279505060492302
22,2.295387219711106
23,2.276925417356452
24,2.2273279306089844
25,2.0821774268348254
26,2.0739891462081244
27,2.0662873521655163
28,1.7779005285087515
29,1.7442909518088285
